branch, request_datetime, request_index, request_user_id, rice, soup, salad, main_dish, total_price
三鷹支店, 2023-01-07 18:45:56, 5, M4316471149704861, 白米 中, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-07 22:57:43, 3, M1411197063930241, 白米 小, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-08 17:12:08, 3, M8450998406609841, 白米 大, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-08 17:26:46, 1, M7370167089130370, 白米 中, 豚汁, チキンのサラダ, 鯖の塩焼き, 1400.00
三鷹支店, 2023-01-08 18:54:33, 2, M7445163706159458, 白米 大, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-09 04:04:18, 6, M4400860964332310, 白米 大, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-09 04:10:12, 1, M5628732464656951, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-09 05:20:42, 5, M9366523864385044, 白米 大, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-09 10:16:40, 2, M6439860497461111, 白米 小, 豚汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-09 12:26:12, 4, M6528764768399159, 白米 大, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-09 13:56:47, 3, M7164647937961898, 白米 小, 豚汁, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-01-09 23:43:20, 7, M6946100159144972, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-10 00:30:40, 1, M0959979499165585, 白米 中, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1200.00
三鷹支店, 2023-01-10 05:32:31, 5, M5817770820243514, 白米 中, コンソメスープ, チキンのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-01-10 15:34:31, 6, M0714965327808581, 白米 大, 豆腐の味噌汁, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-01-10 17:45:44, 4, M1369199066252452, 白米 小, 豆腐の味噌汁, チキンのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-10 18:27:06, 3, S0000000000000002, 白米 中, 豚汁, チキンのサラダ, 豚の生姜焼き, 1300.00
三鷹支店, 2023-01-10 23:42:03, 2, M7370167089130370, 白米 中, 豚汁, ワカメのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-11 03:13:13, 1, M3037251062431668, 白米 大, コンソメスープ, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-11 04:21:57, 5, M5628732464656951, 白米 小, 豆腐の味噌汁, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-11 06:17:30, 8, M1525342523725107, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-11 08:54:10, 3, M7370167089130370, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-01-11 13:46:40, 2, M2200771142129264, 白米 大, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-11 15:27:58, 7, M7445163706159458, 白米 大, コンソメスープ, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-11 17:51:59, 4, M1331843257022261, 白米 中, コンソメスープ, ほうれん草のごま和え, 豚の生姜焼き, 1000.00
三鷹支店, 2023-01-11 23:17:48, 6, M3764404782998205, 白米 大, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-12 00:57:10, 3, M6528764768399159, 白米 中, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-01-12 01:50:48, 1, M6691192990110146, 白米 小, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-12 09:57:38, 2, M0851225857326843, 白米 中, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-13 21:28:46, 1, M1692674481452789, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-13 21:58:28, 2, M5958992545564083, 白米 大, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-14 04:58:04, 3, M6439860497461111, 白米 中, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-14 10:06:22, 1, M7437876502906606, 白米 小, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-14 20:14:49, 2, M4156018433615288, 白米 中, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1100.00
三鷹支店, 2023-01-15 01:40:14, 2, M8450998406609841, 白米 中, 豚汁, チキンのサラダ, 豚の生姜焼き, 1300.00
三鷹支店, 2023-01-15 05:01:15, 4, M5167605488367166, 白米 大, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-15 15:20:39, 3, M1642087007258808, 白米 中, 豚汁, ワカメのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-15 19:27:31, 1, M2258555050055487, 白米 中, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1100.00
三鷹支店, 2023-01-15 23:08:51, 5, M2662121413642089, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-16 09:45:20, 1, M4400860964332310, 白米 中, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-01-16 13:49:24, 4, M6465895127921518, 白米 大, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-16 15:22:36, 2, M4777048940070841, 白米 中, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-01-16 15:49:40, 5, M6465895127921518, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-01-16 23:27:50, 3, M5432647983047799, 白米 大, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-17 03:43:41, 1, M1692674481452789, 白米 大, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-17 08:59:37, 3, M1525342523725107, 白米 大, 豚汁, チキンのサラダ, 豚の生姜焼き, 1350.00
三鷹支店, 2023-01-17 14:54:22, 2, M1829498371518666, 白米 小, コンソメスープ, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-01-18 11:17:44, 3, S0000000000000001, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-18 22:31:08, 2, M1924759056945548, 白米 中, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1200.00
三鷹支店, 2023-01-18 23:29:47, 1, M9989143822773005, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-19 01:46:21, 2, M6778306111215275, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-01-19 08:21:19, 4, M1331843257022261, 白米 小, コンソメスープ, チキンのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-19 09:21:39, 5, S0000000000000002, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-19 10:06:53, 1, M2455814217437686, 白米 大, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-19 21:01:48, 3, M9041816061335343, 白米 小, コンソメスープ, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-20 01:21:37, 1, M6528764768399159, 白米 小, コンソメスープ, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-20 08:39:16, 4, M6528764768399159, 白米 大, 豚汁, チキンのサラダ, 鯖の塩焼き, 1450.00
三鷹支店, 2023-01-20 16:10:19, 2, M5628732464656951, 白米 大, 豚汁, チキンのサラダ, 豚の生姜焼き, 1350.00
三鷹支店, 2023-01-20 20:14:33, 5, M1729158841742835, 白米 小, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-20 20:36:31, 3, M9515482485288613, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-21 03:56:03, 5, M9159749473516644, 白米 中, 豚汁, チキンのサラダ, 豚の生姜焼き, 1300.00
三鷹支店, 2023-01-21 08:50:42, 3, M7370167089130370, 白米 小, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-21 21:36:25, 2, M4316471149704861, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-21 22:24:21, 1, M4957702483502152, 白米 小, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-21 22:28:11, 4, M5167605488367166, 白米 小, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-22 09:09:08, 1, M2785702558166011, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-23 01:14:08, 2, M1729158841742835, 白米 中, 豚汁, チキンのサラダ, 鯖の塩焼き, 1400.00
三鷹支店, 2023-01-23 04:43:17, 1, M0851225857326843, 白米 小, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-23 09:27:59, 3, M2455814217437686, 白米 大, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-23 10:47:41, 4, M0959979499165585, 白米 中, 豆腐の味噌汁, チキンのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-24 01:46:52, 2, M3254378465709968, 白米 大, 豚汁, ワカメのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-01-24 05:38:20, 6, M6131631379421215, 白米 中, 豆腐の味噌汁, ほうれん草のごま和え, 鯖の塩焼き, 1100.00
三鷹支店, 2023-01-24 06:37:57, 1, M1729158841742835, 白米 小, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-24 09:36:00, 3, M1642087007258808, 白米 小, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-24 12:02:56, 4, M6991501146827906, 白米 中, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1100.00
三鷹支店, 2023-01-24 19:05:06, 5, M6363338569666435, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-01-25 07:31:09, 1, S0000000000000002, 白米 大, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-25 09:30:40, 2, M9366523864385044, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-01-25 12:12:03, 3, M5958992545564083, 白米 大, コンソメスープ, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-25 22:35:56, 4, M9159749473516644, 白米 大, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-01-26 06:25:31, 1, M4439008801559783, 白米 小, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-26 20:17:52, 2, M1924759056945548, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 豚の生姜焼き, 950.00
三鷹支店, 2023-01-27 02:49:48, 2, M4316471149704861, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-27 07:45:39, 1, M2998083860683956, 白米 小, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-28 03:55:01, 6, M1331843257022261, 白米 大, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-28 07:02:14, 7, M6914664961212078, 白米 中, 豚汁, チキンのサラダ, 豚の生姜焼き, 1300.00
三鷹支店, 2023-01-28 07:21:49, 3, M4439008801559783, 白米 小, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-28 08:13:59, 5, M3674708608484289, 白米 大, コンソメスープ, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-28 19:33:28, 8, M3735522060612831, 白米 中, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-28 20:45:41, 1, M9717017308442137, 白米 中, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1300.00
三鷹支店, 2023-01-28 20:56:14, 4, M6991501146827906, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-28 23:38:59, 2, M6778306111215275, 白米 中, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1300.00
三鷹支店, 2023-02-01 04:52:39, 2, M7061927164902103, 白米 中, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1200.00
三鷹支店, 2023-02-01 08:32:16, 1, M1981917978916037, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1200.00
三鷹支店, 2023-02-01 13:57:19, 6, M3764404782998205, 白米 小, 豚汁, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-01 16:40:29, 7, M3037251062431668, 白米 小, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-01 18:18:56, 3, M5167605488367166, 白米 大, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1250.00
三鷹支店, 2023-02-01 21:13:04, 4, M9717017308442137, 白米 大, コンソメスープ, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-02-01 23:49:01, 5, M4568983376934970, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1050.00
三鷹支店, 2023-02-02 06:38:00, 2, M9159749473516644, 白米 大, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-02 16:44:58, 1, M1525342523725107, 白米 小, 豚汁, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-02-02 19:06:42, 3, M2756585947940783, 白米 小, 豆腐の味噌汁, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-03 03:20:25, 2, M0514976918844333, 白米 大, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-02-03 08:20:24, 5, M0843459659404481, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-02-03 08:28:49, 6, M8450998406609841, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-02-03 10:42:34, 3, M0851225857326843, 白米 中, 豚汁, チキンのサラダ, 煮込みハンバーグ, 1400.00
三鷹支店, 2023-02-03 12:08:52, 1, M3493785522067783, 白米 小, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-02-03 20:10:22, 4, M5524847802574081, 白米 中, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-02-04 08:27:11, 2, M8880181047927641, 白米 小, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1050.00
三鷹支店, 2023-02-04 15:09:43, 4, M7370167089130370, 白米 大, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-02-04 15:25:22, 1, M3493785522067783, 白米 小, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-02-04 22:20:52, 3, M3493785522067783, 白米 中, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1200.00
三鷹支店, 2023-02-05 00:42:23, 1, M9366523864385044, 白米 小, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-05 02:58:04, 3, M1981917978916037, 白米 大, コンソメスープ, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-02-05 09:33:41, 2, M6131631379421215, 白米 大, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-06 00:46:40, 2, M9159749473516644, 白米 中, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1100.00
三鷹支店, 2023-02-06 11:03:14, 6, M4316471149704861, 白米 小, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-02-06 11:04:09, 5, M1642087007258808, 白米 小, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-02-06 12:48:36, 3, M0843459659404481, 白米 大, コンソメスープ, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-02-06 19:43:45, 1, M6638017527164450, 白米 大, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-02-06 21:12:31, 4, M4777048940070841, 白米 大, 豆腐の味噌汁, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-02-07 15:19:24, 5, M4156018433615288, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-07 16:17:23, 3, M8450998406609841, 白米 大, 豚汁, チキンのサラダ, 鯖の塩焼き, 1450.00
三鷹支店, 2023-02-07 16:42:03, 2, M1642087007258808, 白米 中, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1200.00
三鷹支店, 2023-02-07 21:11:46, 1, M2662121413642089, 白米 中, 豆腐の味噌汁, チキンのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-02-07 21:23:31, 4, M3100316506692276, 白米 中, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-02-07 23:46:15, 6, M3100316506692276, 白米 大, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-08 00:27:14, 2, M5432647983047799, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-08 06:47:57, 1, M5958992545564083, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-02-08 09:12:10, 3, M1742213958426250, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-02-08 15:13:43, 4, M6638017527164450, 白米 小, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-02-08 19:57:50, 6, S0000000000000002, 白米 小, 豚汁, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-02-08 22:48:17, 5, M3735522060612831, 白米 中, コンソメスープ, ほうれん草のごま和え, 煮込みハンバーグ, 1100.00
三鷹支店, 2023-02-09 03:44:04, 4, M7164647937961898, 白米 中, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1200.00
三鷹支店, 2023-02-09 08:19:22, 1, M1331843257022261, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-02-09 09:13:49, 7, M5432647983047799, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-09 13:31:02, 6, M1981917978916037, 白米 小, 豚汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-02-09 17:20:49, 3, M2258555050055487, 白米 小, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-02-09 21:58:17, 2, M5342435620242023, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 豚の生姜焼き, 950.00
三鷹支店, 2023-02-09 22:16:10, 5, M9401689572920389, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 豚の生姜焼き, 950.00
三鷹支店, 2023-02-10 02:59:53, 3, M4957702483502152, 白米 大, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-02-10 07:54:19, 7, M8880181047927641, 白米 小, 豚汁, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-02-10 09:41:55, 4, M0851225857326843, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-10 13:10:24, 6, M5782613179531962, 白米 大, 豚汁, チキンのサラダ, 豚の生姜焼き, 1350.00
三鷹支店, 2023-02-10 13:12:06, 5, M2756585947940783, 白米 中, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-02-10 15:57:42, 2, M3254378465709968, 白米 小, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-02-10 19:56:25, 1, M6826841501887810, 白米 大, コンソメスープ, ワカメのサラダ, 豚の生姜焼き, 1150.00
三鷹支店, 2023-02-10 20:35:15, 8, M4316471149704861, 白米 中, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-02-11 10:40:06, 4, M5167605488367166, 白米 中, 豚汁, チキンのサラダ, 鯖の塩焼き, 1400.00
三鷹支店, 2023-02-11 11:22:55, 1, M3489191249112446, 白米 中, 豚汁, チキンのサラダ, 鯖の塩焼き, 1400.00
